ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
PTCT,59,50.49,0.8174,0.0654,0.355692,-0.115652,2,0.6350,0.160581,1.00,neutral,,alpha,False,,none,late,mid,True,52.13,60,0.0296,50.00,50.00,0,80.00,9,Palo Alto Investors; RTW Investments; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,79.00,MEDIUM,MODERATE,87.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.80
CRL,60,50.35,0.8061,0.0645,0.321306,-0.031927,1,0.3502,0.449855,1.0,neutral,def_mult_good_1.10; def_boost_gated_below_51_in_1,alpha,False,,none,early,large,True,52.14,60,0.0298,93.33,93.34,93.35,61.00,1,Rock Springs Capital Management,60.00,LOW,LOW,56.43,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.35
BBOT,61,50.20,0.7948,0.0636,0.723142,-0.008740,1,0.1057,0.385937,1.0,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_1,alpha,False,,none,early,small,True,47.22,60,-0.0386,50.00,50.00,0,50.00,0,,47.00,LOW,LOW,21.67,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,52.0,concentrated,0.80000,0.95,0.85,0.45,0.40
MLYS,62,50.19,0.7837,0.0627,0.613883,-0.324636,2,0.3093,-0.031626,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,56.12,60,0.0849,50.00,50.00,0,80.00,5,Orbimed Advisors; RA Capital Management; Rock Springs Capital Management; Tang Capital Partners,57.00,LOW,MODERATE,23.68,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.80
ALDX,63,50.15,0.9374,0.075,0.930493,-0.008945,2,0.314640,1.082510,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,alpha,False,,none,late,small,True,38.30,60,-0.1539,50.00,50.00,0,72.00,2,Palo Alto Investors; Perceptive Advisors,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,84.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.78
MNKD,64,49.66,0.7726,0.0618,0.454611,-0.048680,2,0.3317,0.056829,1.0,neutral,def_mult_good_1.10; def_boost_gated_below_51_in_2,alpha,False,,none,late,small,True,48.83,60,-0.0162,63.70,49.65,16.87,50.00,0,,53.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.92
RIGL,65,49.65,0.8879,0.071,0.938403,-0.269035,2,0.3248,1.933167,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,alpha,False,,none,late,small,True,42.36,60,-0.1061,50.00,50.00,0,58.00,1,Opaleye Management,57.00,MEDIUM,MODERATE,82.14,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.77
AXSM,66,49.64,0.7617,0.0609,0.518641,-0.019725,2,0.3828,-0.219451,1.0,neutral,def_skip_vol_too_high; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,63.64,60,0.1795,80.00,73.95,59.82,80.00,6,Cormorant Asset Management; Orbimed Advisors; Perceptive Advisors; RTW Investments; Sofinnova Investments,75.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,67.0,FT; BTD,90.0,moderate,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
CDNA,67,49.54,0.7508,0.0601,0.690594,-0.021170,1,0.3985,-0.386113,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,early,small,True,64.72,60,0.1937,50.00,50.00,0,61.00,1,Palo Alto Investors,79.00,LOW,MODERATE,33.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.32
EXEL,68,49.50,0.74,0.0592,0.346824,-0.084960,2,0.040750,0.192460,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,39.72,60,-0.1428,57.61,42.23,6.33,61.43,5,Krensavage Asset Management,65.00,LOW,MODERATE,62.14,ev_cfo,0.8000,50,unknown,,73.0,FT; ODD; BTD,100.0,highly_crowded,83.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.87
AGIO,69,49.31,0.8521,0.0682,1.577572,-0.365355,2,0.3352,0.046455,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97; def_warn_drawdown_gt_30pct,alpha,False,,none,late,small,True,19.37,60,-0.4229,50.00,50.00,0,80.00,6,Baker Bros Advisors; Palo Alto Investors; Rock Springs Capital Management,48.00,LOW,LOW,59.94,mcap_per_trial,0.8000,50,unknown,,73.0,FT; ODD; BTD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
ZYME,70,49.15,0.7293,0.0583,0.743628,-0.186821,1,0.3925,0.298488,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,early,small,True,56.39,60,0.0888,50.00,50.00,0,80.00,10,Acuta Capital Partners; EcoR1 Capital; Opaleye Management; Perceptive Advisors; Redmile Group; Samsara BioCapital; Tang Capital Partners,76.00,LOW,LOW,11.67,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,60.0,focused,0.83000,0.95,0.95,0.45,0.40
ANIP,71,48.81,0.7187,0.0575,0.350949,-0.148497,2,0.0607,0.119879,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,small,True,31.72,60,-0.2406,50.00,50.00,0,61.43,5,Deep Track Capital,71.00,MEDIUM,MODERATE,75.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,76.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
SYRE,72,48.79,0.7082,0.0567,0.567879,-0.049625,3,0.5938,0.113816,1.00,neutral,,alpha,False,,none,mid,mid,True,73.45,60,0.3086,80.00,71.76,52.52,80.00,6,Baker Bros Advisors; Deerfield Management; Opaleye Management; Perceptive Advisors; RTW Investments; Tang Capital Partners,73.00,MEDIUM,MODERATE,17.80,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.87500,0.95,0.95,0.65,0.60
TRVI,73,48.71,0.6977,0.0558,0.675552,-0.226535,3,0.4046,1.396578,1.00,neutral,,alpha,False,,none,mid,small,True,39.78,60,-0.1420,98.67,80.93,39.54,58.00,1,Opaleye Management,66.00,LOW,MODERATE,51.69,mcap_per_trial,0.8000,50,unknown,,50,,60.0,uncrowded,75.0,diversified,0.87000,0.95,0.95,0.65,0.63
TRDA,74,48.48,0.6874,0.055,0.537903,-0.064902,1,0.3748,0.173487,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,early,small,True,80.29,60,0.4166,50.00,50.00,0,56.00,1,Baker Bros Advisors,68.00,LOW,LOW,45.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,64.0,focused,0.80500,0.95,0.85,0.45,0.40
GILD,75,48.12,0.6771,0.0542,0.271958,-0.003050,2,0.2668,-0.103953,1.0,neutral,def_mult_elite_1.40; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,44.93,60,-0.0705,63.70,49.65,16.87,61.00,1,Sofinnova Investments,48.00,LOW,LOW,49.29,ev_cfo,0.8000,46.37,exceptional,Galapagos; Arcus Biosciences,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
BCYC,76,48.09,0.6668,0.0533,0.612355,-0.167286,3,0.5334,0.181124,1.00,neutral,,alpha,False,,none,mid,small,True,25.68,60,-0.3207,80.00,66.09,33.64,72.00,2,Baker Bros Advisors; Palo Alto Investors,57.00,LOW,LOW,55.08,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.87500,0.95,0.95,0.65,0.53
CLDX,77,48.08,0.6567,0.0525,0.514818,-0.157383,2,0.7395,-0.033127,1.00,neutral,,alpha,False,,none,late,small,True,36.31,60,-0.1801,63.70,49.65,16.87,80.00,7,Baker Bros Advisors; Deep Track Capital; Rock Springs Capital Management,77.00,LOW,MODERATE,75.73,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
CAI,78,47.98,0.6466,0.0517,0.580724,-0.165811,2,0.1886,0.357725,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,mid,True,24.26,60,-0.3412,95.08,96.56,100.00,80.00,6,Perceptive Advisors; Rock Springs Capital Management,57.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.94
MIRM,79,47.81,0.6266,0.0501,0.424985,0.000000,2,0.3904,1.002807,1.0,neutral,def_mult_good_1.10; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,64.89,60,0.1959,50.00,50.00,0,80.00,4,Palo Alto Investors; Rock Springs Capital Management; Tang Capital Partners,67.00,MEDIUM,MODERATE,12.86,ev_cfo,0.8000,43.75,strong,Ipsen,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
AMPH,80,47.65,0.6167,0.0493,0.415990,-0.114966,2,0.2075,-0.042311,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,34.76,60,-0.2005,50.00,50.00,0,50.00,0,,61.00,MEDIUM,MODERATE,76.43,ev_cfo,0.8000,50,unknown,,50,,80.0,crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.90
ABCL,81,47.32,0.6068,0.0485,0.711525,-0.281081,1,0.5106,1.554287,1.00,neutral,,alpha,False,,none,early,small,True,22.80,60,-0.3638,50.00,50.00,0,67.00,2,Baker Bros Advisors; Tang Capital Partners,80.00,MEDIUM,HIGH,50,neutral,0.2,50,unknown,,50,,90.0,highly_crowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.50
VRTX,82,46.28,0.5394,0.0432,0.281451,-0.011711,2,-0.110810,-0.145963,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,44.77,60,-0.0726,65.00,60.45,49.83,80.00,7,Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,54.00,LOW,LOW,36.43,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
JANX,83,46.18,0.9502,0.076,1.669139,-0.591249,1,0.4324,1.890181,0.892400,penalty,def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,early,small,True,11.97,60,-0.5851,50.00,50.00,0,80.00,6,Cormorant Asset Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Rock Springs Capital Management; Tang Capital Partners,48.00,MEDIUM,LOW,38.33,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.80500,0.95,0.85,0.45,0.40
CRNX,84,46.00,0.53,0.0424,0.498604,-0.082049,2,0.4161,0.337662,1.00,neutral,,alpha,False,,none,late,mid,True,62.83,60,0.1689,98.67,80.93,39.54,80.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Orbimed Advisors; RTW Investments,73.00,MEDIUM,MODERATE,22.51,mcap_per_trial,0.8000,50,unknown,,64.0,FT; ODD,100.0,highly_crowded,79.0,diversified,0.87500,0.95,0.95,0.65,0.70
IMTX,85,45.78,0.5207,0.0417,0.727473,-0.158382,2,0.541870,1.276087,1.00,neutral,,alpha,False,,none,late,small,True,44.67,60,-0.0741,50.00,50.00,0,80.00,4,Baker Bros Advisors; Perceptive Advisors; RTW Investments; Sofinnova Investments,50,UNKNOWN,UNKNOWN,68.13,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.70
NAMS,86,45.49,0.5113,0.0409,0.473079,-0.232811,2,0.4627,0.226407,1.00,neutral,,alpha,False,,none,late,mid,True,31.08,60,-0.2489,86.72,66.04,17.79,80.00,3,Cormorant Asset Management; RA Capital Management; Rock Springs Capital Management,65.00,LOW,LOW,40.64,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.75
CABA,87,45.42,0.502,0.0402,1.215718,-0.213296,1,0.3873,1.325795,1.0,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_1,alpha,False,,sev1,early,micro,True,58.69,60,0.1207,50.00,50.00,0,70.00,4,Cormorant Asset Management; Opaleye Management,71.00,MEDIUM,MODERATE,81.67,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,66.0,focused,0.83000,0.95,0.95,0.45,0.47
NRIX,88,45.28,0.4928,0.0394,0.687468,-0.143922,3,0.5306,0.002240,1.00,neutral,,alpha,False,,none,mid,small,True,68.65,60,0.2455,50.00,50.00,0,70.00,3,Baker Bros Advisors; Perceptive Advisors; Redmile Group,71.00,MEDIUM,MODERATE,24.58,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,67.0,focused,0.83500,0.95,0.95,0.45,0.53
ALLO,89,45.02,0.5776,0.0462,0.802004,-0.151163,2,0.6078,0.058175,0.9700,penalty,def_mult_high_vol_0.97,alpha,False,,none,late,small,True,51.15,60,0.0160,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,89.18,mcap_per_trial,0.8000,50,unknown,,71.2,FT; RMAT; ODD,100.0,highly_crowded,84.0,diversified,0.83000,0.95,0.95,0.45,0.87
PACB,90,44.95,0.4744,0.038,0.977891,-0.076779,2,0.4440,0.147654,1.0,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,small,True,58.98,60,0.1247,55.00,42.78,14.27,61.00,1,Casdin Capital,65.00,LOW,MODERATE,75.15,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.80
RARE,91,44.90,0.597,0.0478,1.264547,-0.330186,2,0.047340,0.566398,0.94914500,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_penalty_0.95; def_mult_rsi_oversold_1.03; def_warn_drawdown_gt_30pct,alpha,False,,none,late,mid,True,21.11,60,-0.3918,86.72,66.04,17.79,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,64.00,LOW,LOW,54.95,ev_revenue,0.8000,33.82,strong,Alexion,77.0,RMAT; ODD; BTD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.80
AMLX,92,44.71,0.4653,0.0372,0.643642,-0.127364,2,0.4341,-0.083690,1.0,neutral,def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,small,True,59.37,60,0.1302,63.70,49.65,16.87,80.00,7,Acuta Capital Partners; Ally Bridge Group; Cormorant Asset Management; Orbimed Advisors; Perceptive Advisors; Rock Springs Capital Management; Tang Capital Partners,65.00,LOW,MODERATE,42.40,mcap_per_trial,0.8000,50,unknown,,50,,100.0,crowded,79.0,diversified,0.83000,0.95,0.95,0.45,0.80
REGN,93,44.26,0.4563,0.0365,0.306374,-0.050500,2,0.3749,0.588184,1.0,neutral,def_mult_good_1.10; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,47.79,60,-0.0308,50.00,41.38,21.27,80.00,9,Krensavage Asset Management; Rock Springs Capital Management; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,63.57,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,75.0,uncrowded,86.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.78
ACAD,94,44.16,0.4382,0.0351,0.319015,-0.078403,2,-0.069309,0.163799,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,39.21,60,-0.1499,68.50,58.38,34.75,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Sofinnova Investments; Tang Capital Partners,65.00,LOW,LOW,55.00,ev_cfo,0.8000,31.39,strong,Takeda,73.0,FT; ODD; BTD,75.0,uncrowded,84.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.67
SLN,95,44.13,0.5873,0.047,0.651201,-0.298184,3,0.4239,0.865856,0.9500,penalty,def_mult_momentum_penalty_0.95,alpha,False,,none,mid,micro,True,21.08,60,-0.3924,50.00,50.00,0,50.00,0,,41.00,LOW,LOW,78.81,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.53
TVTX,96,44.08,0.5584,0.0447,0.694869,-0.251490,2,0.2672,0.473575,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,alpha,False,,none,late,mid,True,42.18,60,-0.1086,50.00,50.00,0,80.00,4,Palo Alto Investors; Perceptive Advisors; RA Capital Management; Rock Springs Capital Management,59.00,MEDIUM,MODERATE,44.06,ev_revenue,0.8000,50,unknown,,50,,20.0,uncrowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.95
PTGX,97,43.99,0.4292,0.0343,0.326469,-0.136602,3,0.1962,0.142362,1.0,neutral,def_mult_elite_1.40; def_mult_rsi_oversold_1.03; def_boost_gated_below_51_in_3,alpha,False,,none,mid,mid,True,48.36,60,-0.0228,50.00,50.00,0,80.00,4,Opaleye Management; Perceptive Advisors; RTW Investments,59.00,LOW,MODERATE,30.71,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.83000,0.95,0.95,0.45,0.60
AUPH,98,43.83,0.4203,0.0336,0.400694,-0.109957,2,0.2705,0.504697,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,41.57,60,-0.1171,50.00,50.00,0,50.00,0,,59.00,LOW,LOW,67.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.77
CADL,99,43.79,0.4114,0.0329,0.658129,-0.105100,2,0.4585,-0.148941,1.00,neutral,,alpha,False,,none,late,small,True,35.65,60,-0.1888,50.00,50.00,0,50.00,2,,65.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.70
SRPT,100,43.76,0.4836,0.0387,1.109011,-0.122290,2,0.011538,0.268633,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,none,late,mid,True,31.35,60,-0.2454,50.00,41.61,22.02,58.00,1,Opaleye Management,69.00,MEDIUM,MODERATE,90.00,ev_revenue,0.8000,48.75,exceptional,Roche,80.2,FT; RMAT; ODD; BTD,100.0,highly_crowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.80
HRMY,101,43.59,0.4025,0.0322,0.315956,-0.090965,2,0.1710,0.112081,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,43.58,60,-0.0892,50.00,50.00,0,65.71,4,Great Point Partners,69.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.67
EPRX,102,43.28,0.3937,0.0315,0.698265,-0.033776,3,0.078333,0.842284,1.0,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98; def_boost_gated_below_51_in_3,alpha,False,,none,mid,small,True,65.82,60,0.2082,50.00,50.00,0,75.30,3,Great Point Partners; Logos Global Management,44.00,LOW,LOW,48.31,mcap_per_trial,0.8000,50,unknown,,50,,25.0,uncrowded,64.0,focused,0.80500,0.95,0.85,0.45,0.63
CERS,103,43.23,0.3849,0.0308,0.810917,-0.091241,2,0.231446,0.567569,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,small,True,82.08,60,0.4507,50.00,50.00,0,61.00,1,Baker Bros Advisors,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
IRON,104,43.22,0.3761,0.0301,0.461367,-0.141539,2,0.3231,-0.111032,1.0,neutral,def_mult_good_1.10; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,40.01,60,-0.1388,86.72,66.04,17.79,80.00,7,Baker Bros Advisors; Deerfield Management; Opaleye Management; Orbimed Advisors; Palo Alto Investors; RA Capital Management; Sofinnova Investments,57.00,LOW,MODERATE,42.98,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.77
RAPP,105,42.64,0.3586,0.0287,0.582861,-0.177586,3,0.0639,0.232799,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,mid,small,True,47.40,60,-0.0361,50.00,50.00,0,80.00,4,Baker Bros Advisors; Cormorant Asset Management; Perceptive Advisors; Sofinnova Investments,57.00,LOW,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,35.0,single_asset,0.74000,0.95,0.85,0.45,0.50
BNTX,106,42.36,0.3499,0.028,0.399954,0.000000,2,0.4778,0.738422,1.0,neutral,def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,43.48,60,-0.0906,80.00,77.07,70.24,80.00,3,Baker Bros Advisors; Krensavage Asset Management; Palo Alto Investors,58.00,LOW,LOW,10.00,mcap_per_trial,0.8000,56.46,exceptional,Pfizer; Regeneron,50,,100.0,highly_crowded,86.0,broad_portfolio,0.78000,0.65,0.95,0.65,0.95
KNSA,107,42.33,0.3413,0.0273,0.340994,-0.031586,2,0.4817,-0.224132,1.00,neutral,,alpha,False,,none,late,mid,True,46.61,60,-0.0470,98.67,80.93,39.54,61.00,1,Baker Bros Advisors,51.00,LOW,LOW,37.86,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,84.0,diversified,0.87000,0.95,0.95,0.65,0.77
TENX,108,42.26,0.3326,0.0266,0.833364,-0.192666,2,0.174546,0.882286,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,none,late,micro,True,93.80,60,0.7537,50.00,50.00,0,58.57,3,RTW Investments,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.72
BCRX,109,42.24,0.324,0.0259,0.452564,-0.146465,2,0.4988,0.756269,1.00,neutral,,alpha,False,,none,late,small,True,23.31,60,-0.3558,50.00,50.00,0,80.00,4,Deerfield Management; Orbimed Advisors; Tang Capital Partners,73.00,MEDIUM,MODERATE,39.29,ev_cfo,0.8000,50,unknown,,50,,100.0,crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.78
SGMT,110,42.24,0.3154,0.0252,0.677871,-0.334467,2,0.3405,0.255766,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,alpha,False,,none,late,micro,True,16.83,60,-0.4727,50.00,50.00,0,61.43,4,Baker Bros Advisors,61.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,82.0,diversified,0.83500,0.95,0.95,0.45,0.75
ALNY,111,42.04,0.3068,0.0245,0.366422,-0.258488,2,-0.041320,-0.144057,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,19.73,60,-0.4163,50.00,50.00,0,80.00,3,Casdin Capital; Palo Alto Investors; Rock Springs Capital Management,48.00,LOW,LOW,12.86,ev_cfo,0.8000,67.83,exceptional,Regeneron; Roche,73.0,FT; ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.80
DSGN,112,41.85,0.2983,0.0239,0.715397,-0.002825,3,0.5494,2.000725,1.00,neutral,,alpha,False,,none,mid,small,True,87.43,60,0.5700,50.00,50.00,0,80.00,3,Baker Bros Advisors; RA Capital Management; Tang Capital Partners,53.00,LOW,LOW,50,neutral,0.2,50,unknown,,50,,10.0,uncrowded,35.0,single_asset,0.74500,0.95,0.85,0.45,0.53
HALO,113,41.76,0.2898,0.0232,0.304964,-0.048063,2,0.1622,-0.095856,1.0,neutral,def_mult_elite_1.40; def_mult_rsi_overbought_0.98; def_boost_gated_below_51_in_2,alpha,False,,none,late,mid,True,39.68,60,-0.1434,50.00,50.00,0,50.00,0,,63.00,MEDIUM,MODERATE,57.86,ev_cfo,0.8000,50,unknown,,69.0,ODD; BTD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.87
MDGL,114,41.73,0.2813,0.0225,0.489256,-0.176733,2,0.5355,-0.053553,1.00,neutral,,alpha,False,,none,late,large,True,47.55,60,-0.0340,80.00,67.99,39.96,80.00,11,Ally Bridge Group; Baker Bros Advisors; EcoR1 Capital; RTW Investments; Rock Springs Capital Management; Sectoral Asset Management,73.00,MEDIUM,MODERATE,11.99,mcap_per_trial,0.8000,50,unknown,,67.0,FT; BTD,100.0,highly_crowded,79.0,diversified,0.87000,0.95,0.95,0.65,0.75
MEDP,115,41.61,0.2728,0.0218,0.264187,-0.044313,2,0.2101,-0.310616,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,41.59,60,-0.1168,65.00,49.32,12.73,50.00,3,,61.00,LOW,LOW,45.00,ev_cfo,0.8000,50,unknown,,50,,50,unknown,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.87
ARQT,116,41.49,0.2643,0.0211,0.470319,-0.181090,2,0.4021,0.297133,1.00,neutral,,alpha,False,,none,late,mid,True,48.13,60,-0.0260,50.00,50.00,0,75.00,3,Ally Bridge Group; Cormorant Asset Management,59.00,MEDIUM,MODERATE,25.25,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.77
